Antibody RRID	Reliability (IF)
CAB025135: , HPA018535: AB_1844854, HPA019569: AB_1844855, HPA019650: AB_1844856	Supported
CAB004311: AB_626677, HPA046964: AB_2732537, HPA061798: AB_2732671	Approved
HPA051482: 	Approved
HPA013398: AB_1844861, HPA013431: AB_1844862	Enhanced
CAB005076: AB_630869, CAB017560: AB_2227370, HPA007393: AB_1078168	Approved
CAB003677: AB_425305, HPA035330: AB_2674574	Approved
CAB005077: AB_630873, HPA002462: AB_1078166, HPA009650: AB_1844867, HPA009977: 	Approved
CAB004312: AB_626681, HPA064290: 	Approved
HPA045246: , HPA047451: 	Approved
HPA045246: , HPA047451: 	Approved
HPA028404: AB_10599190, HPA028698: AB_10600227	Approved
CAB025797: , HPA000980: AB_1078170	Approved
HPA038593: AB_10669647, HPA038594: 	Uncertain
HPA039949: AB_10960708	Uncertain
HPA040511: AB_10795369, HPA046619: 	Approved
HPA038575: AB_10672718	Approved
HPA051121: , HPA051124: 	Enhanced
HPA058283: 	Uncertain
HPA078008: 	Approved
HPA035863: AB_10672098, HPA058115: 	Supported
HPA065226: AB_2685438, HPA068520: AB_2685998	Enhanced
CAB009049: AB_2058329, HPA041224: 	Enhanced
HPA054999: 	Supported
HPA060945: 	Supported
HPA049894: , HPA060945: 	Supported
HPA066782: 	Supported
CAB004306: AB_2274034	Supported
CAB017514: AB_2056344, HPA043040: 	Supported
CAB017631: AB_2058201, HPA056733: , HPA067983: 	Supported
HPA036849: AB_10672101, HPA069870: 	Supported
HPA038737: AB_10670788, HPA045458: 	Approved
HPA039467: AB_10795143, HPA039818: AB_10795299	Approved
HPA074408: 	Approved
HPA049270: 	Approved
HPA049270: 	Approved
HPA028162: AB_10610976, HPA028652: AB_10601451	Approved
HPA039963: AB_10795240	Supported
HPA065739: , HPA067880: 	Approved
CAB034200: AB_1564201, HPA043533: , HPA048244: 	Enhanced
HPA035693: AB_10960687	Supported
CAB069399: AB_1611908, HPA031373: AB_10602230	Supported
HPA061287: 	Supported
CAB037065: AB_477178, HPA058796: , HPA070376: 	Enhanced
HPA045577: AB_10964881	Approved
HPA038521: , HPA038522: 	Supported
HPA017009: , HPA063903: 	Enhanced
HPA023542: AB_1844909	Approved
HPA005571: AB_1844912, HPA076196: 	Supported
HPA078002: 	Supported
HPA067015: 	Uncertain
HPA029700: AB_10599278, HPA029701: AB_10600333, HPA029702: AB_10602411, HPA029703: AB_10601348	Enhanced
CAB004294: AB_626685, CAB047307: , HPA000956: , HPA002564: AB_1078174	Supported
HPA048577: 	Supported
HPA026598: AB_1844927	Enhanced
HPA021188: AB_10610977, HPA024131: AB_10602171	Approved
HPA029396: AB_10610285, HPA034642: , HPA034643: AB_10602431	Supported
HPA039319: AB_10673141	Approved
HPA012863: AB_1845683, HPA064700: 	Approved
CAB016778: , HPA046715: 	Approved
CAB068250: , CAB068251: , CAB068252: , HPA001352: AB_1078179, HPA002549: AB_1078177	Approved
CAB016070: AB_626690, HPA049793: 	Supported
HPA043237: AB_10795980, HPA056980: , HPA066719: 	Uncertain
HPA056980: , HPA066719: 	Approved
CAB033048: AB_2057401, HPA071523: 	Approved
HPA073637: 	Uncertain
HPA001812: AB_1078175, HPA073637: 	Uncertain
HPA021492: AB_10964888, HPA058565: 	Supported
HPA065365: , HPA073918: 	Approved
HPA040520: 	Approved
CAB008363: AB_590560, CAB069921: AB_920623, HPA065539: AB_2685509, HPA068768: AB_2686029	Approved
CAB022214: , HPA001654: AB_1078181, HPA003732: AB_1078183	Supported
HPA001078: AB_10602432	Approved
HPA049797: , HPA055435: 	Supported
CAB028574: , HPA029165: AB_10670037, HPA029167: AB_10670832	Supported
HPA052462: , HPA058882: 	Enhanced
CAB034086: AB_1119033, HPA051006: 	Approved
HPA003187: AB_1079375	Approved
HPA000612: AB_1078594	Approved
CAB000157: AB_323833, HPA001462: AB_1078185	Approved
HPA066777: 	Uncertain
HPA011138: AB_1844959, HPA073477: 	Uncertain
HPA026681: AB_1844964	Supported
HPA064930: 	Supported
CAB001707: , HPA019206: AB_1844965	Supported
HPA062621: , HPA065947: 	Approved
HPA042879: AB_10794919	Approved
HPA014924: 	Supported
CAB005079: AB_2274338, CAB058689: , HPA014784: AB_1844967	Approved
HPA065008: 	Approved
HPA040624: , HPA055647: 	Enhanced
CAB000001: AB_2060174, CAB065764: AB_10620739, HPA065701: 	Approved
HPA046188: AB_2679578, HPA066326: AB_2685659	Approved
CAB020703: , HPA070383: 	Approved
HPA035925: AB_10672075	Approved
CAB079013: , HPA056430: 	Approved
HPA037573: AB_10696938, HPA044874: 	Enhanced
CAB023519: AB_2060673, HPA008720: AB_1844978	Approved
CAB007742: AB_562043	Approved
HPA051019: AB_2681313, HPA056273: AB_2683084	Supported
HPA016649: AB_1844980, HPA018152: AB_1844979	Supported
HPA000638: AB_1078188	Supported
HPA023399: AB_1844981, HPA023822: AB_1844982	Enhanced
CAB026382: , HPA026078: AB_1844983	Supported
CAB005080: AB_2058797, HPA037375: , HPA063759: 	Supported
CAB032985: AB_2058811, HPA038156: AB_10697243	Approved
HPA047028: AB_2679908, HPA050634: 	Supported
CAB009435: AB_2059089, HPA000663: AB_1078192	Supported
HPA034962: AB_10611676, HPA056792: 	Enhanced
HPA004689: AB_1078194, HPA008285: AB_1078195	Supported
HPA039589: 	Approved
HPA040419: AB_10796121, HPA040830: AB_10805830	Approved
HPA064479: 	Uncertain
HPA032125: AB_10671370	Uncertain
HPA041703: AB_10794304	Approved
HPA031595: AB_10959905	Approved
HPA035777: , HPA043231: AB_10796791	Enhanced
HPA038458: AB_10672517, HPA038459: , HPA076303: 	Approved
HPA036610: AB_10669910, HPA057861: 	Supported
CAB020696: , HPA040391: , HPA064439: 	Supported
HPA019818: AB_1844993, HPA047291: 	Approved
HPA014288: AB_1844994	Approved
HPA035346: AB_10601116, HPA061395: AB_2684501	Approved
HPA035106: , HPA035107: AB_10669855	Approved
HPA023919: AB_2059402, HPA053053: 	Uncertain
HPA030413: AB_10601455, HPA030414: AB_10670042, HPA030415: AB_10669598	Supported
HPA026534: AB_1844998	Approved
HPA036300: AB_10601117	Supported
HPA038382: , HPA038389: AB_10670972, HPA061505: 	Approved
HPA030117: AB_10599306, HPA030118: AB_10601238	Approved
CAB037311: AB_477435, HPA055184: , HPA056470: 	Supported
HPA002064: AB_1078891, HPA076209: 	Approved
HPA044491: AB_10794775	Approved
HPA001012: AB_1078201, HPA001083: AB_1078199	Approved
HPA042636: AB_10962149, HPA042840: AB_10963929	Supported
HPA039924: AB_10674428, HPA060528: 	Approved
HPA046993: , HPA056507: 	Supported
HPA001798: , HPA036779: AB_10672229, HPA064390: 	Supported
HPA069694: 	Approved
CAB010005: AB_2227516, HPA021407: AB_1856267	Supported
CAB018584: AB_647972, HPA051235: 	Supported
HPA078260: 	Approved
CAB009502: AB_667785, HPA012924: AB_1845000, HPA060784: AB_2684363	Enhanced
HPA024649: AB_1845002	Approved
HPA026426: AB_10599487, HPA026440: AB_10599422, HPA028115: AB_10602285	Approved
HPA011026: AB_1850426, HPA012037: AB_1850430, HPA014658: AB_1850428	Supported
CAB025581: , HPA018911: AB_1845003	Approved
HPA044443: AB_10960424, HPA063495: 	Supported
HPA007991: AB_1845005	Approved
HPA042689: AB_10794385, HPA071867: 	Enhanced
HPA068108: 	Approved
HPA052016: AB_2681695	Approved
HPA017722: AB_1856800, HPA049195: 	Supported
HPA037602: AB_10672282	Approved
HPA034715: AB_10600780, HPA064945: 	Approved
HPA034661: AB_10669679, HPA041051: 	Supported
HPA043885: , HPA053487: 	Approved
HPA036510: AB_10672357, HPA045484: 	Approved
HPA030745: , HPA030746: AB_10599613, HPA030757: AB_10600203	Supported
HPA020980: AB_1845007, HPA029504: AB_10602231, HPA044188: , HPA045619: , HPA045699: 	Supported
HPA003578: AB_1078203	Approved
HPA035419: AB_10669859, HPA055291: 	Supported
CAB016334: AB_673396, HPA005456: AB_1078205	Enhanced
HPA016511: AB_1845008, HPA075291: 	Supported
HPA063044: 	Supported
HPA004793: AB_1847870, HPA076330: AB_2732309	Supported
HPA050320: 	Supported
HPA048899: 	Supported
HPA027333: AB_1845013, HPA053692: 	Approved
HPA002860: , HPA023879: AB_1845014	Supported
HPA015037: AB_1845015	Approved
HPA003295: AB_1845017, HPA073245: 	Approved
HPA067381: , HPA069715: , HPA070963: 	Enhanced
HPA062656: , HPA073012: 	Supported
HPA048926: 	Uncertain
HPA039634: , HPA048127: AB_2680277	Supported
HPA044604: AB_10960542, HPA063820: 	Approved
HPA044610: AB_10964207	Approved
HPA036292: AB_10673618, HPA063596: 	Supported
HPA064513: 	Supported
HPA028927: AB_10602387	Supported
HPA060379: 	Approved
HPA019361: AB_1845028	Approved
HPA045307: AB_10961042	Approved
CAB019321: , HPA015540: AB_1852061	Approved
HPA014743: AB_1845030	Approved
HPA072942: 	Approved
HPA026085: AB_1845031	Supported
HPA011036: AB_1080139, HPA011057: AB_1080137	Enhanced
HPA030895: AB_10602114, HPA075457: , HPA075777: 	Approved
HPA025809: AB_1845032, HPA053696: 	Approved
HPA041524: AB_10796676, HPA063706: 	Approved
HPA041420: , HPA041681: AB_10793928	Enhanced
HPA024229: AB_2059152, HPA053076: 	Supported
HPA036996: AB_10672786, HPA044869: 	Approved
CAB020695: , HPA005685: AB_10600781	Approved
HPA005761: AB_10600782	Approved
HPA000325: AB_1078206, HPA000967: AB_1078208, HPA001530: 	Approved
HPA000429: AB_1078210, HPA051930: 	Approved
HPA000996: AB_1078212	Approved
HPA043030: , HPA048125: 	Supported
HPA003004: AB_1078358, HPA005819: AB_1845741	Approved
CAB004318: AB_626698, HPA001759: AB_1078213	Supported
CAB005081: AB_2243005, HPA001056: AB_1845042	Supported
CAB045962: AB_11124144, HPA050938: 	Supported
HPA059074: 	Supported
HPA004334: AB_1078215	Approved
HPA004832: AB_1845044	Supported
CAB001994: , HPA008352: AB_1854887	Supported
HPA006550: AB_1854869	Uncertain
HPA022013: AB_1845045, HPA031972: 	Approved
HPA017303: AB_1845049	Approved
CAB003763: AB_562248, HPA049318: , HPA070249: 	Supported
HPA065681: 	Supported
HPA053788: , HPA074216: 	Approved
HPA039934: , HPA042109: AB_10795606	Supported
CAB025183: , HPA005554: AB_1078220	Approved
HPA037770: AB_10671719, HPA037771: AB_10671720	Approved
HPA004694: AB_1078221, HPA063835: 	Approved
HPA060518: , HPA070651: 	Supported
HPA000549: AB_1845055	Uncertain
HPA038386: AB_10669781, HPA038398: 	Approved
HPA036481: , HPA036482: AB_10672356	Supported
HPA042384: AB_10795703	Approved
HPA075664: 	Approved
HPA035709: 	Approved
CAB016162: AB_2058690, HPA055264: , HPA063675: 	Enhanced
HPA017856: AB_1847420	Approved
HPA061171: 	Approved
HPA061171: 	Approved
CAB037292: AB_476723, HPA011136: , HPA048565: 	Approved
CAB018615: AB_2242947	Supported
HPA020537: , HPA020546: 	Supported
HPA003508: AB_1845065	Approved
HPA048293: , HPA061742: 	Approved
HPA066834: 	Approved
HPA001546: AB_1078224	Approved
HPA028870: AB_10611679	Approved
HPA003300: AB_1845071	Approved
HPA038038: AB_10674544, HPA057567: 	Approved
HPA001439: AB_1078229, HPA052879: 	Approved
HPA031608: AB_10599970, HPA031609: AB_10600777, HPA031610: AB_10611526	Supported
HPA029217: AB_10669595, HPA076307: 	Approved
HPA030502: , HPA071495: 	Enhanced
HPA054036: , HPA069385: 	Supported
HPA011954: AB_1845079, HPA012852: AB_1845080	Supported
HPA014899: AB_1845085, HPA015998: AB_1845084	Supported
HPA004806: AB_1845087	Supported
HPA042289: AB_10795608	Supported
HPA058870: 	Supported
HPA049155: , HPA054805: 	Approved
HPA036042: AB_10672998, HPA057078: 	Approved
HPA048636: 	Supported
CAB003696: AB_425316, HPA016646: AB_1845096	Approved
HPA003630: AB_1078230, HPA021865: AB_1845099	Enhanced
HPA045951: , HPA048087: 	Enhanced
HPA004924: AB_2667295, HPA029318: AB_10602389, HPA064737: AB_2685341	Enhanced
HPA036132: , HPA036133: AB_10696650, HPA075042: 	Approved
HPA022142: AB_1845102, HPA022145: AB_1845103	Uncertain
HPA042631: AB_10794530, HPA042654: AB_10794383	Approved
HPA055161: , HPA059303: 	Enhanced
CAB017816: 	Approved
HPA026749: AB_1845114	Supported
CAB070192: , HPA029725: AB_10602328, HPA055572: AB_2682854	Approved
HPA020896: AB_1845117, HPA020934: AB_1845118	Approved
HPA037010: AB_10673629, HPA037011: AB_10696929	Approved
HPA074112: 	Approved
HPA027035: AB_1845122	Approved
HPA064156: 	Approved
HPA034646: , HPA058040: 	Enhanced
HPA020558: AB_1845123	Approved
HPA037569: AB_10672496	Approved
CAB056158: , HPA029424: AB_10611680	Enhanced
HPA034555: AB_10601665	Supported
HPA058968: , HPA064867: , HPA065305: 	Supported
HPA058968: , HPA064867: , HPA065305: 	Supported
HPA065305: 	Approved
HPA066823: 	Approved
HPA046816: , HPA050999: 	Approved
HPA038444: AB_10672745, HPA057549: 	Supported
CAB016222: AB_2290030, HPA055069: , HPA055406: 	Enhanced
CAB003769: AB_562241, HPA022134: AB_1845138	Enhanced
HPA001562: AB_1078233	Supported
CAB011596: AB_725569	Supported
HPA030187: AB_10601666	Supported
HPA046871: AB_10963542	Approved
HPA003384: AB_1078234	Approved
HPA016578: AB_1845147, HPA023505: AB_1845148	Enhanced
HPA044163: 	Approved
HPA039350: AB_10673142	Approved
HPA012577: AB_1845155, HPA063900: 	Approved
HPA045444: , HPA050312: 	Enhanced
HPA038715: AB_10673474	Approved
HPA000880: AB_1078888, HPA001427: AB_1845551, HPA019665: AB_2274278	Enhanced
CAB037260: AB_1078236, HPA040471: 	Supported
HPA036374: AB_10672354, HPA064759: 	Approved
CAB037195: AB_1078237, HPA069803: 	Approved
HPA007049: AB_1845159	Approved
HPA067683: 	Supported
CAB034432: AB_2243288, CAB037309: AB_796188, HPA042973: AB_2678246	Approved
CAB018771: AB_2062165, HPA007639: AB_1845162	Supported
HPA059551: 	Supported
CAB013462: , HPA021012: AB_1845169	Enhanced
HPA029108: AB_10670557, HPA075302: 	Supported
HPA065702: , HPA076616: 	Enhanced
CAB000102: , HPA067142: 	Enhanced
HPA054967: , HPA066900: 	Supported
HPA031619: AB_10601667	Enhanced
HPA028406: 	Supported
HPA055036: 	Approved
HPA050808: 	Supported
HPA035583: AB_10671106, HPA035584: AB_10672096	Enhanced
HPA036237: AB_10673123, HPA036238: AB_10670792	Approved
HPA031798: , HPA049717: 	Approved
HPA029471: AB_10600784	Approved
HPA051932: 	Approved
CAB020697: , HPA048963: 	Supported
HPA035804: AB_10601026, HPA043204: 	Enhanced
CAB002310: AB_564139, CAB032706: AB_2061286	Approved
CAB005605: AB_2061563, HPA011166: AB_1855484, HPA012945: AB_1855483	Supported
CAB016118: AB_2061729, HPA040431: 	Supported
CAB010207: AB_2061744, HPA035116: AB_10673106, HPA069684: 	Supported
HPA052262: , HPA075812: 	Approved
CAB013067: AB_221511, HPA040622: AB_2677048, HPA044202: AB_2678855	Supported
CAB017527: AB_1121153, HPA001520: AB_1078243, HPA001528: AB_1078242	Enhanced
HPA027999: AB_10600984	Enhanced
HPA044798: 	Supported
HPA035010: AB_10669853	Supported
HPA067267: , HPA070412: 	Supported
HPA020106: AB_2176551, HPA047679: 	Approved
HPA044629: 	Supported
HPA044629: 	Supported
HPA058978: , HPA060520: 	Supported
HPA046067: AB_10960850, HPA057347: AB_2683416	Supported
HPA042777: AB_2678160, HPA048459: AB_2680402	Supported
HPA031069: AB_10603676	Supported
CAB016209: AB_631361, HPA041394: 	Enhanced
HPA046967: , HPA062690: 	Approved
CAB015218: 	Approved
HPA053771: 	Approved
HPA022144: AB_1845189	Approved
HPA044279: AB_10961274	Approved
HPA018029: AB_1845190, HPA064555: AB_2685284	Approved
HPA044281: 	Approved
HPA065100: 	Approved
HPA055327: , HPA058496: 	Approved
CAB006910: , HPA035083: AB_2674453, HPA035084: AB_2674454	Supported
CAB009523: AB_677577, HPA031847: 	Approved
HPA008147: AB_1845195	Supported
HPA023943: AB_1845197, HPA057297: 	Supported
HPA034734: , HPA067305: 	Uncertain
HPA031515: AB_10600785, HPA057316: AB_2683409	Approved
CAB009528: AB_2062678, CAB018699: AB_781534, HPA029196: 	Approved
CAB004615: AB_2258908, HPA042898: 	Approved
CAB009532: AB_667834, HPA023421: AB_1845202	Approved
HPA012887: AB_1845205, HPA048107: 	Supported
HPA009137: , HPA013187: AB_1845206	Supported
HPA052935: 	Supported
HPA039926: AB_10794205, HPA040033: 	Supported
HPA018673: AB_1845207, HPA018674: AB_1845208	Approved
HPA040254: AB_10673028	Approved
HPA028382: , HPA044950: 	Approved
HPA023329: AB_1845209, HPA059422: 	Enhanced
HPA054320: 	Supported
CAB033109: AB_634993, HPA047590: 	Supported
HPA008853: AB_1078248	Approved
HPA038070: AB_10697237	Approved
CAB009372: AB_2061023, CAB068176: , HPA001906: AB_1078249, HPA064684: 	Supported
HPA008335: AB_1845129, HPA070756: 	Supported
HPA049531: 	Supported
HPA062596: , HPA062789: 	Enhanced
HPA018295: AB_1845130, HPA020339: AB_1845131, HPA021146: AB_1845132	Enhanced
HPA041506: , HPA043391: , HPA071955: 	Enhanced
CAB021976: , HPA024123: AB_1845133, HPA069338: 	Approved
HPA034989: AB_10602596	Approved
HPA034989: AB_10602596	Approved
HPA021448: AB_1845213	Approved
HPA029827: AB_10602390, HPA054952: 	Approved
HPA064316: 	Approved
HPA056612: 	Approved
HPA028730: AB_10670830	Supported
HPA007674: AB_1078251	Approved
CAB001454: AB_563420, HPA002636: AB_1845217	Approved
HPA031821: AB_10601458	Supported
CAB005862: AB_449204, HPA037708: 	Supported
HPA000390: AB_1845218	Approved
HPA020863: AB_1845219	Approved
HPA050957: 	Approved
HPA037649: AB_10671879	Approved
CAB012987: AB_2533178	Supported
CAB012283: AB_2290204, CAB017783: 	Uncertain
CAB032501: AB_2062572, HPA037422: AB_10672347, HPA037423: , HPA075217: 	Supported
HPA027948: AB_10602391	Approved
HPA028527: AB_10602077	Approved
HPA055851: , HPA075964: 	Enhanced
CAB002572: AB_563434, HPA006361: AB_1078278	Enhanced
HPA041204: AB_10795585	Approved
HPA012502: AB_1845228, HPA050662: 	Approved
HPA078659: 	Approved
CAB002500: AB_563601, CAB010893: AB_1078474, HPA069468: 	Supported
HPA005997: AB_1845234	Approved
HPA055261: 	Approved
HPA017292: AB_1845237	Approved
HPA052743: , HPA062734: 	Approved
HPA023585: AB_2061075, HPA024547: AB_1845240	Approved
HPA011404: AB_1845242	Supported
HPA053126: 	Approved
HPA010806: AB_1078255, HPA010807: AB_1078254	Enhanced
HPA007620: , HPA047739: 	Supported
HPA010793: AB_1078256	Supported
HPA046819: AB_2679824, HPA063546: 	Supported
HPA027132: AB_10600985, HPA068307: 	Supported
HPA021251: AB_1845247, HPA021330: 	Uncertain
HPA054386: , HPA068786: , HPA077609: 	Enhanced
HPA017926: AB_1845443	Supported
CAB016358: AB_626716	Supported
HPA034949: 	Approved
HPA051384: , HPA058384: 	Supported
CAB004205: AB_626717, HPA028185: AB_10603445, HPA062105: 	Enhanced
CAB002486: AB_563422, HPA018121: AB_1845255	Supported
HPA018862: AB_2669957, HPA019918: AB_2670317	Supported
HPA018493: AB_1845257, HPA020586: AB_1845258	Enhanced
HPA016429: AB_1845261	Supported
CAB020704: , HPA045116: , HPA053291: 	Enhanced
HPA023386: AB_1859537, HPA076910: 	Approved
HPA041196: AB_10803999	Supported
HPA023310: AB_1845264, HPA027421: AB_10602392	Enhanced
HPA019484: AB_1845265, HPA021257: AB_1845266, HPA023874: AB_1845267, HPA029503: AB_10602330	Enhanced
HPA010819: , HPA010866: AB_10601686	Approved
CAB032896: AB_2061090, HPA039242: 	Supported
HPA037002: AB_10672383	Approved
HPA047164: 	Supported
CAB004322: AB_626723, HPA028814: AB_10602393, HPA028815: , HPA055560: 	Enhanced
CAB034106: AB_2061237, HPA035354: , HPA044864: 	Supported
HPA055858: 	Approved
CAB033311: AB_781574, HPA068414: 	Supported
HPA045218: AB_2679263, HPA050333: 	Enhanced
HPA059588: , HPA064962: 	Enhanced
HPA062496: 	Approved
HPA002730: AB_1078269	Uncertain
CAB037081: AB_477637, CAB037158: AB_477636, HPA067010: 	Supported
HPA005782: AB_10601089, HPA063806: 	Enhanced
HPA019819: AB_1845282, HPA059292: 	Approved
CAB007752: AB_562336, HPA070403: 	Approved
HPA003090: AB_1845571, HPA003136: AB_1078330, HPA075108: 	Approved
HPA007600: AB_1845284, HPA027823: AB_10602394	Uncertain
HPA058283: 	Uncertain
HPA039418: AB_10672962	Supported
HPA006049: , HPA050646: 	Enhanced
HPA005654: 	Approved
HPA029215: AB_10602331, HPA049694: AB_2680854	Approved
CAB015350: AB_2243544, CAB015424: AB_781567, HPA003906: AB_1078270	Enhanced
CAB000443: , HPA042282: 	Approved
HPA014858: AB_1845302	Approved
CAB033558: AB_2274632, HPA051816: AB_2681623, HPA054745: AB_2682590	Approved
HPA067881: 	Supported
HPA052409: , HPA057289: 	Approved
HPA038812: AB_10795141	Approved
HPA054091: 	Supported
HPA038011: 	Supported
HPA039911: AB_10673021	Supported
HPA031580: AB_10696054, HPA031956: 	Supported
HPA017995: AB_1845309, HPA056067: 	Supported
CAB001944: , HPA017925: AB_1845312	Approved
CAB014891: , HPA029003: 	Supported
HPA049117: AB_2680639	Approved
CAB000003: AB_2064429, HPA055295: 	Supported
CAB072801: , HPA035734: 	Approved
HPA020856: AB_1845320	Approved
CAB002052: AB_563431, HPA030994: AB_10795024, HPA050377: 	Enhanced
HPA040665: AB_10964282	Uncertain
CAB040539: , HPA048740: 	Uncertain
HPA000637: AB_1079553, HPA048740: 	Uncertain
CAB002051: AB_563428, HPA047514: 	Supported
CAB000307: AB_2063451, HPA004899: AB_1078273, HPA050645: 	Supported
HPA059147: , HPA075112: 	Approved
HPA019762: AB_10962489	Approved
HPA049943: , HPA058069: 	Approved
HPA018676: AB_1845322, HPA052654: 	Approved
HPA020274: 	Approved
HPA049370: , HPA053421: 	Enhanced
HPA006484: , HPA006669: AB_1078302, HPA027770: AB_1845484	Enhanced
HPA027215: AB_1847358	Approved
