To pos,well,well_plate,Antibody,Gene,Uniprot,U-2 OS (tpm),Gene desc,Protein class,ENSG,candidate,comment_variation,IF antibody state,IF antibody location score,IF antibody score,IF main antibody location,IF additional antibody location,IF spatial var,IF intensity var,IF spatial corr,IF intensity corr,IF siRNA score,WB overall score,WB U-251MG score,WB RT4 score
45,E06,E06_6717,HPA052359,HGD,Q93099,0.94,"homogentisate 1,2-dioxygenase",Disease related genes;Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Potential drug targets;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000113924,Diana,,1000: Finished IF,Golgi apparatus - 7: Approved (auto),3:Approved,Golgi apparatus,,,Golgi apparatus,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,4:No bands detected.,4:No bands detected.
46,F06,F06_6717,HPA053185,TLX1,P31314,1.18,T cell leukemia homeobox 1,Cancer-related genes;Disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Transcription factors;Transcription factors predicted,ENSG00000107807,Diana,,1000: Finished IF,Nucleoplasm - 7: Approved (auto),3:Approved,Nucleoplasm,,,Nucleoplasm,,,,4:No bands detected.,4:No bands detected.,4:No bands detected.
47,G06,G06_6717,HPA053198,MAN1A1,P33908,16.40,mannosidase alpha class 1A member 1,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000111885,Diana,,1000: Finished IF,Golgi apparatus - 3: Supportive (?);Cytosol - 12: Uncertain (?),2:Supportive,Golgi apparatus,Cytosol,,Golgi apparatus,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,7:Only bands not corresponding to the predicted size.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.
48,H06,H06_6717,HPA053367,PTPN18,Q99952,12.96,"protein tyrosine phosphatase, non-receptor type 18",Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000072135,Diana,,1000: Finished IF,Intermediate filaments - 7: Approved (auto),3:Approved,Intermediate filaments,,,Intermediate filaments,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).,4:No bands detected.
49,A07,A07_6717,HPA053470,HFE,Q30201,1.15,hemochromatosis,Disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Peptideatlas),ENSG00000010704,Diana,,1000: Finished IF,Plasma membrane - 3: Supportive (auto);Nucleoplasm - 12: Uncertain (auto),2:Supportive,Plasma membrane,Nucleoplasm,,Plasma membrane,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,1:Single band corresponding to the predicted size in kDa (+/-20%).
50,B07,B07_6717,HPA054104,EPB41L1,Q9H4G0,47.23,erythrocyte membrane protein band 4.1 like 1,Cytoskeleton related proteins;Disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000088367,Diana,,1000: Finished IF,Plasma membrane - 6 [12]: Approved (auto),3:Approved,Plasma membrane,,,Plasma membrane,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.
51,C07,C07_6717,HPA054811,HSPB6,O14558,0.96,heat shock protein family B (small) member 6,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000004776,Diana,,1000: Finished IF,Cytosol - 3: Supportive (auto);Nucleoli - 12: Uncertain (manual);Golgi apparatus - 5: Approved (auto),2:Supportive,Cytosol,Nucleoli;Golgi apparatus,,Nucleoli;Cytosol,,,,4:No bands detected.,4:No bands detected.,4:No bands detected.
52,D07,D07_6717,HPA056479,MFNG,O00587,5.91,MFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Peptideatlas),ENSG00000100060,Diana,,1000: Finished IF,Vesicles - 7: Approved (auto),3:Approved,Vesicles,,,Vesicles,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,4:No bands detected.,4:No bands detected.
53,E07,E07_6717,HPA056533,DLL3,Q9NYJ7,2.68,delta like canonical Notch ligand 3,Disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Peptideatlas),ENSG00000090932,Diana,,1000: Finished IF,Plasma membrane - 7: Approved (auto);Nucleoplasm - 7: Approved (auto),3:Approved,Nucleoplasm;Plasma membrane,,,Plasma membrane,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,1:Single band corresponding to the predicted size in kDa (+/-20%).
54,F07,F07_6717,HPA056895,ZNF444,Q8N0Y2,18.74,zinc finger protein 444,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas);Transcription factors;Transcription factors predicted,ENSG00000167685,Diana,,1000: Finished IF,Nucleoplasm - 7: Approved (auto),3:Approved,Nucleoplasm,,,Nucleoplasm,,,,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.
55,G07,G07_6717,HPA057393,MPP4,Q96JB8,2.73,membrane palmitoylated protein 4,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas);SH3-domain containing proteins,ENSG00000082126,Diana,,1000: Finished IF,Cytosol - 3: Supportive (auto);Actin filaments - 5: Approved (auto),2:Supportive,Cytosol,Actin filaments,,Cytosol,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,6:Weak band of predicted size but with additional bands of higher intensity also present.
56,H07,H07_6717,HPA059086,CDKN1B,P46527,33.93,cyclin dependent kinase inhibitor 1B,Cancer related proteins;Cancer-related genes;Disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000111276,Diana,,1000: Finished IF,Nucleoplasm - 3: Supportive (auto);Vesicles - 5: Approved (auto),2:Supportive,Nucleoplasm,Vesicles,,Nucleoplasm,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).,4:No bands detected.
57,A08,A08_6717,HPA059286,SYNGR4,O95473,0.96,synaptogyrin 4,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins by Leigh Anderson;Predicted intracellular proteins;Predicted membrane proteins;Protein evidence (Peptideatlas),ENSG00000105467,Diana,,1000: Finished IF,Golgi apparatus - 8: Approved (auto),3:Approved,Golgi apparatus,,,Golgi apparatus,,,,4:No bands detected.,4:No bands detected.,4:No bands detected.
58,B08,B08_6717,HPA059315,GSS,P48637,54.94,glutathione synthetase,Disease related genes;Enzymes;FDA approved drug targets;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Plasma proteins by Leigh Anderson;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000100983,Diana,,1000: Finished IF,Nucleoplasm - 7: Approved (?),3:Approved,Nucleoplasm,,,Nucleoplasm,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,4:No bands detected.,1:Single band corresponding to the predicted size in kDa (+/-20%).
59,C08,C08_6717,HPA059647,HCFC1R1,Q9NWW0,282.18,host cell factor C1 regulator 1,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins,ENSG00000103145,Diana,,1000: Finished IF,Nucleoplasm - 3: Supportive (auto),2:Supportive,Nucleoplasm,,,Nucleoplasm,,,,4:No bands detected.,4:No bands detected.,4:No bands detected.
60,D08,D08_6717,HPA060298,MROH8,Q9H579,1.08,maestro heat like repeat family member 8,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Peptideatlas),ENSG00000101353,Diana,,1000: Finished IF,Nucleoplasm - 7: Approved (auto);Cytosol - 7: Approved (auto),3:Approved,Nucleoplasm,Cytosol,,Nucleoplasm,,,,7:Only bands not corresponding to the predicted size.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,7:Only bands not corresponding to the predicted size.
61,E08,E08_6717,HPA060380,TRPS1,Q9UHF7,7.48,transcriptional repressor GATA binding 1,Disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas);Transcription factors;Transcription factors predicted,ENSG00000104447,Diana,,1000: Finished IF,Nucleoplasm - 3: Supportive (manual),2:Supportive,Nucleoplasm,,,Nucleoplasm,,,,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,4:No bands detected.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.
62,F08,F08_6717,HPA060938,RHOBTB2,Q9BYZ6,13.50,Rho related BTB domain containing 2,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Peptideatlas),ENSG00000008853,Diana,,1000: Finished IF,Plasma membrane - 7: Approved (auto);Aggresome - 7: Approved (auto),3:Approved,Plasma membrane,Aggresome,,Plasma membrane,,,,7:Only bands not corresponding to the predicted size.,4:No bands detected.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.
63,G08,G08_6717,HPA061018,PLEKHO1,Q53GL0,26.90,pleckstrin homology domain containing O1,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000023902,Diana,,1000: Finished IF,Mitochondria - 5: Approved (auto),3:Approved,Mitochondria,,,Mitochondria,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,2:Band of predicted size in kDa (+/-20%) with additional bands present.,1:Single band corresponding to the predicted size in kDa (+/-20%).
64,H08,H08_6717,HPA061280,GAPDH,P04406,6437.52,glyceraldehyde-3-phosphate dehydrogenase,Cytoskeleton related proteins;Enzymes;FDA approved drug targets;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000111640,Diana,,1000: Finished IF,Plasma membrane - 12: Uncertain (auto);Cytosol - 3: Supportive (auto);Nuclear membrane - 12: Uncertain (auto);Vesicles - 8: Approved (auto),2:Supportive,Plasma membrane;Cytosol,Nuclear membrane;Vesicles,,Plasma membrane;Cytosol,,,,2:Band of predicted size in kDa (+/-20%) with additional bands present.,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).
65,A09,A09_6717,HPA062439,PES1,O00541,130.63,pescadillo ribosomal biogenesis factor 1,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000100029,Diana,,1000: Finished IF,Nucleoli - 1 [3]: Supportive (auto);Cytosol - 6 [12]: Approved (auto);Nucleoplasm - 1 [3]: Supportive (manual),2:Supportive,Nucleoli,Nucleoplasm;Cytosol,,Nucleoli,,,,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).,1:Single band corresponding to the predicted size in kDa (+/-20%).
66,B09,B09_6717,HPA062575,MPPED2,Q15777,1.17,metallophosphoesterase domain containing 2,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000066382,Diana,,1000: Finished IF,Nucleoli - 7: Approved (auto);Mitochondria - 7: Approved (auto);Vesicles - 7: Approved (auto),3:Approved,Nucleoli,Vesicles;Mitochondria,,Nucleoli;Vesicles,,,,6:Weak band of predicted size but with additional bands of higher intensity also present.,6:Weak band of predicted size but with additional bands of higher intensity also present.,4:No bands detected.
67,C09,C09_6717,HPA066549,INPP5A,Q14642,18.12,inositol polyphosphate-5-phosphatase A,Enzymes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000068383,Diana,,1000: Finished IF,Endoplasmic reticulum - 8: Approved (auto),3:Approved,Endoplasmic reticulum,,,Endoplasmic reticulum,,,,6:Weak band of predicted size but with additional bands of higher intensity also present.,7:Only bands not corresponding to the predicted size.,7:Only bands not corresponding to the predicted size.
68,D09,D09_6717,HPA066845,MSH2,P43246,73.76,mutS homolog 2,Cancer related proteins;Cancer-related genes;Disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000095002,Diana,,1000: Finished IF,Nucleoplasm - 7: Approved (auto),3:Approved,Nucleoplasm,,,Nucleoplasm,,,,4:No bands detected.,4:No bands detected.,4:No bands detected.
69,E09,E09_6717,HPA067076,SNAPC1,Q16533,207.42,small nuclear RNA activating complex polypeptide 1,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins by Leigh Anderson;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000023608,Diana,,1000: Finished IF,Nucleoli - 1 [3]: Supportive (auto);Nucleoplasm - 1 [3]: Supportive (auto),2:Supportive,Nucleoli,Nucleoplasm,,Nucleoplasm,,,,6:Weak band of predicted size but with additional bands of higher intensity also present.,7:Only bands not corresponding to the predicted size.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.
70,F09,F09_6717,HPA067440,ENG,P17813,13.79,endoglin,Cancer-related genes;Candidate cardiovascular disease genes;CD markers;Disease related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted membrane proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000106991,Diana,,1000: Finished IF,Plasma membrane - 3: Supportive (auto);Nuclear bodies - 12: Uncertain (auto),2:Supportive,Plasma membrane,Nuclear bodies,,Nuclear bodies,,,,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,4:No bands detected.,4:No bands detected.
71,G09,G09_6717,HPA067567,EFNA2,O43921,5.84,ephrin A2,Cancer-related genes;Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;RAS pathway related proteins,ENSG00000099617,Diana,,1000: Finished IF,Cytosol - 7: Approved (auto);Mitochondria - 7: Approved (auto),3:Approved,Mitochondria;Cytosol,,Mitochondria,,,,,7:Only bands not corresponding to the predicted size.,4:No bands detected.,3:Single band larger than predicted size in kDa (+20%) but partly supported by experimental and/or bioinformatic data.
72,H09,H09_6717,HPA067703,TBL1X,O60907,19.24,transducin beta like 1 X-linked,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Plasma proteins;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000101849,Diana,,1000: Finished IF,Nucleoplasm - 7: Approved (auto);Nucleoli - 7: Approved (auto),3:Approved,Nucleoplasm,Nucleoli,,Nucleoplasm;Nucleoli,,,,6:Weak band of predicted size but with additional bands of higher intensity also present.,4:No bands detected.,4:No bands detected.
73,A10,A10_6717,HPA069056,NCAPH2,Q6IBW4,83.48,non-SMC condensin II complex subunit H2,Mapped to neXtProt;Mapped to UniProt SWISS-PROT;Predicted intracellular proteins;Protein evidence (Ezkurdia et al 2014);Protein evidence (Kim et al 2014);Protein evidence (Peptideatlas),ENSG00000025770,Diana,,1000: Finished IF,Nucleoplasm - 1 [3]: Supportive (auto);Cell Junctions - 12: Uncertain (auto);Cytokinetic bridge - 6 [12]: Approved (auto),2:Supportive,Nucleoplasm,Cell Junctions;Cytokinetic bridge,,Cytokinetic bridge,,,,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.,5:Single band differing more than +/-20% from predicted size in kDa and not supported by experimental and/or bioinformatic data.
